flow_idx,flow_label,total_precision,share_observations,share_mass_balance,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
57,2xx -> sand_cast,326.3091079552624,0.08286795025765128,0.9171320497423487,1,USGS value 1,1.923056763564638,1.923056763564638,0.0,structure-determined,1.927773743788682,0.18949931472356132,,,,
58,3xx -> sand_cast,0.07522612440488087,0.03755279873592567,0.9624472012640742,1,USGS value 1,188.1457884253907,188.1457884253907,0.0,structure-determined,189.2909250190171,17.641786076703195,,,,
59,4xx -> sand_cast,176.5185629868016,0.08285850293894387,0.9171414970610561,1,USGS value 1,2.614786699531646,2.614786699531646,0.0,structure-determined,2.6212869309979707,0.24587711662977585,,,,
60,5xx -> sand_cast,5.490883651694013,0.08224735268494617,0.9177526473150538,1,USGS value 1,14.88051339915282,14.88051339915282,0.0,structure-determined,14.903453333881965,1.4383858250306658,,,,
61,7xx -> sand_cast,170.27215420467212,0.08285775460713331,0.9171422453928668,1,USGS value 1,2.662328275886768,2.662328275886768,0.0,structure-determined,2.666016141137999,0.25696170582113614,,,,
62,other -> sand_cast,0.1800663593876189,0.07727640627123401,0.922723593728766,1,USGS value 1,84.77352643647342,84.77352643647342,0.0,structure-determined,85.50313686502736,8.264577504824357,,,,
63,2xx -> permanent_semi_permanent_mold_cast,306.0036683074215,0.022091701609512564,0.9779082983904875,1,USGS value 1,3.846113527129276,3.846113527129276,0.0,structure-determined,3.8525356836852054,0.31791280051948123,,,,
64,3xx -> permanent_semi_permanent_mold_cast,0.04809295792333832,0.014684850087424746,0.9853151499125753,1,USGS value 1,376.2915768507814,376.2915768507814,0.0,structure-determined,376.333651515847,30.76135798355445,,,,
65,4xx -> permanent_semi_permanent_mold_cast,165.5240006314371,0.02209054852200418,0.9779094514779958,1,USGS value 1,5.229573399063292,5.229573399063292,0.0,structure-determined,5.2427144643486505,0.44147157553900507,,,,
66,5xx -> permanent_semi_permanent_mold_cast,5.127161215654903,0.022020501465507235,0.9779794985344928,1,USGS value 1,29.76102679830564,29.76102679830564,0.0,structure-determined,29.756008193437424,2.5786575157834344,,,,
67,7xx -> permanent_semi_permanent_mold_cast,159.66586347468368,0.022090458258404905,0.9779095417415951,1,USGS value 1,5.324656551773534,5.324656551773534,0.0,structure-determined,5.332216368202788,0.45296998889819984,,,,
68,other -> permanent_semi_permanent_mold_cast,0.14461574568030675,0.02405492064221771,0.9759450793577823,1,USGS value 1,169.5470528729468,169.5470528729468,0.0,structure-determined,171.73464921844493,14.868100331693059,,,,
69,other -> other_cast,5.789562430425472,0.027635940008032985,0.972364059991967,1,USGS value 1,25.0,25.0,0.0,structure-determined,25.584797384880094,2.5126277011409015,,,,
70,cast_aluminum_ingot -> export_cast_aluminum_ingot,0.0015735381644017866,0.09337160458594647,0.9066283954140535,1,USGS value 1,275.0,275.0,0.0,structure-determined,238.9178672269132,74.61876027758848,,,,
71,wrought_aluminum_ingot -> export_wrought_aluminum_ingot,0.00011257778728371088,0.0,1.0,0,,,,,structure-determined,434.7011679681723,333.4724098501978,,,,
72,die_cast -> scrap_cast,0.038080185044514867,0.001038739630275611,0.9989612603697243,1,USGS value 1,530.0,530.0,0.0,structure-determined,530.3150828852297,111.021126657974,,,,
73,scrap_cast -> die_cast,0.038080185044514867,0.001038739630275611,0.9989612603697243,1,USGS value 1,530.0,530.0,0.0,structure-determined,530.3387129712845,111.14454532032282,,,,
74,sand_cast -> scrap_sand_cast,0.2990331687014407,0.0009574270103716139,0.9990425729896284,1,USGS value 1,197.0,197.0,0.0,structure-determined,197.38702739431545,41.1811389425623,,,,
75,scrap_sand_cast -> sand_cast,0.2990331687014407,0.0009574270103716139,0.9990425729896284,1,USGS value 1,197.0,197.0,0.0,structure-determined,197.3758117136183,41.22663898502803,,,,
76,permanent_semi_permanent_mold_cast -> scrap_semi_permanent_mold_cast,0.27401871585199333,0.0010448280214057069,0.9989551719785943,1,USGS value 1,197.0,197.0,0.0,structure-determined,196.8313155990744,41.836213400883345,,,,
77,scrap_semi_permanent_mold_cast -> permanent_semi_permanent_mold_cast,0.27401871585199333,0.0010448280214057069,0.9989551719785943,1,USGS value 1,197.0,197.0,0.0,structure-determined,196.84304970110142,41.901713217193716,,,,
78,other_cast -> scrap_other_cast,40.145008504826734,0.0009576969262541536,0.999042303073746,1,USGS value 1,17.0,17.0,0.0,structure-determined,16.985790001680304,3.627146132027864,,,,
79,scrap_other_cast -> other_cast,40.145008504826734,0.0009576969262541536,0.999042303073746,1,USGS value 1,17.0,17.0,0.0,structure-determined,16.98835735164955,3.6263554256173793,,,,
80,die_cast -> export_cast_semifinished_products,0.03673432485868264,0.93355609349019,0.06644390650981008,1,USGS value 1,18.0,18.0,0.0,observation-driven,17.93780889518026,5.291884926362026,,,,
81,1xxx -> rolling,0.004071346957035904,0.002191245247407972,0.9978087547525921,1,USGS value 1,1116.0,1116.0,0.0,structure-determined,1139.4249365448081,251.48996461083095,,,,
82,1xxx -> extrusion,0.005156896981805307,0.02869907566209571,0.9713009243379044,1,USGS value 1,274.0,274.0,0.0,structure-determined,278.3863379090038,79.91836979887256,,,,
83,1xxx -> drawing,0.031083829341658237,0.004431862671058228,0.9955681373289418,1,USGS value 1,284.0,284.0,0.0,structure-determined,119.08883748012016,41.386470707914945,,,,
84,1xxx -> other_milling_processes,0.07895246526007597,0.048261884468649055,0.9517381155313509,1,USGS value 1,54.0,54.0,0.0,structure-determined,58.32855456482104,15.290254764114245,,,,
85,2xxx -> rolling,0.6092703352111338,0.0012252587029133743,0.9987747412970867,1,USGS value 1,122.0,122.0,0.0,structure-determined,61.961183222330895,21.371547972875803,,,,
86,2xxx -> extrusion,0.6104228932874907,0.0015605553128813577,0.9984394446871188,1,USGS value 1,108.0,108.0,0.0,structure-determined,59.84565587969529,20.26826408382934,,,,
87,2xxx -> drawing,1.869975367106417,0.6602054352966837,0.3397945647033163,1,USGS value 1,3.0,3.0,0.0,observation-driven,2.9535765365110933,0.8659512660949048,,,,
88,2xxx -> other_milling_processes,0.9882454416049449,0.3123130776170308,0.6876869223829692,1,USGS value 1,6.0,6.0,0.0,structure-determined,5.884113385439367,1.7338192043120533,,,,
89,3xxx -> rolling,0.004069702085148802,0.00046734927258872545,0.9995326507274114,1,USGS value 1,2417.0,2417.0,0.0,structure-determined,1186.1693207323003,287.28651951543236,,,,
90,3xxx -> extrusion,0.00510096775887204,0.01699569225947459,0.9830043077405254,1,USGS value 1,358.0,358.0,0.0,structure-determined,335.09146057172563,99.1063328179265,,,,
91,3xxx -> drawing,0.034494528454426056,0.10271437410451505,0.897285625895485,1,USGS value 1,56.0,56.0,0.0,structure-determined,46.85894563028611,15.867540180278562,,,,
92,3xxx -> other_milling_processes,0.10944099779072441,0.31335197507654544,0.6866480249234546,1,USGS value 1,18.0,18.0,0.0,structure-determined,18.275132252347845,5.189718777598634,,,,
93,4xxx -> rolling,1.9150433787558176,0.010072943344668623,0.9899270566553313,1,USGS value 1,24.0,24.0,0.0,structure-determined,20.44961501767677,6.71481992126422,,,,
94,4xxx -> other_milling_processes,1.968117570197343,0.0006527404927203298,0.9993472595072797,1,USGS value 1,93.0,93.0,0.0,structure-determined,53.17997140153482,12.765959738970448,,,,
95,5xxx -> rolling,0.0018209214003158999,0.0009985489463686368,0.9990014510536314,1,USGS value 1,2472.0,2472.0,0.0,structure-determined,2161.2918443757594,390.4803313905993,,,,
96,5xxx -> extrusion,0.0031546071741092615,0.12332149890320979,0.8766785010967902,1,USGS value 1,169.0,169.0,0.0,structure-determined,168.31649193407796,47.52213389829631,,,,
97,5xxx -> drawing,0.029883650008178806,0.03951667367693591,0.960483326323064,1,USGS value 1,97.0,97.0,0.0,structure-determined,73.22923513565814,25.79559289685885,,,,
98,5xxx -> other_milling_processes,0.09390273874522767,0.22367814867712293,0.7763218513228771,1,USGS value 1,23.0,23.0,0.0,structure-determined,23.898689284325968,6.71536232682936,,,,
99,6xxx -> rolling,0.0013447800916120169,0.00814792979541164,0.9918520702045883,1,USGS value 1,1007.0,1007.0,0.0,structure-determined,929.5350144347408,261.9890950842286,,,,
100,6xxx -> extrusion,0.0022828470981462535,0.0011174697315189783,0.998882530268481,1,USGS value 1,2087.0,2087.0,0.0,structure-determined,1890.917705027475,273.3364370112961,,,,
101,6xxx -> drawing,0.029002094935715744,0.027054168957792932,0.9729458310422071,1,USGS value 1,119.0,119.0,0.0,structure-determined,83.24890112857173,29.113595769434415,,,,
102,6xxx -> other_milling_processes,0.3810554430922907,0.8099660584926737,0.19003394150732633,1,USGS value 1,6.0,6.0,0.0,observation-driven,5.999840746388499,1.7532110692322345,,,,
103,7xxx -> rolling,0.0563334780720038,0.0019023007600797095,0.9980976992399203,1,USGS value 1,322.0,322.0,0.0,structure-determined,124.95616627151605,43.07231215462999,,,,
104,7xxx -> extrusion,0.05731655789781197,0.0025083480491223113,0.9974916519508776,1,USGS value 1,278.0,278.0,0.0,structure-determined,122.58702467660316,45.10080918457078,,,,
105,7xxx -> drawing,1.3176778605297772,0.9369269517347779,0.06307304826522203,1,USGS value 1,3.0,3.0,0.0,observation-driven,2.9552494741349524,0.8757170293765176,,,,
106,7xxx -> other_milling_processes,0.12744371898259574,0.001080941956438454,0.9989190580435616,1,USGS value 1,284.0,284.0,0.0,structure-determined,194.85159504694067,43.014328312724096,,,,
107,8xxx -> rolling,1.3062623662346136,0.17359251516076005,0.82640748483924,1,USGS value 1,7.0,7.0,0.0,structure-determined,7.101639093111744,2.014089288148019,,,,
108,8xxx -> extrusion,1.0895217645724586,0.008325023950430024,0.99167497604957,1,USGS value 1,35.0,35.0,0.0,structure-determined,37.71575914076973,9.850106375958953,,,,
109,8xxx -> drawing,1.111016342482165,0.004165286543279289,0.9958347134567207,1,USGS value 1,49.0,49.0,0.0,structure-determined,47.56110443257132,12.710270556507027,,,,
110,8xxx -> other_milling_processes,2.3851525427204825,0.5176054273771654,0.48239457262283464,1,USGS value 1,3.0,3.0,0.0,observation-driven,3.0224632995403886,0.8839288562337967,,,,
111,die_cast -> building_construction,0.03828541067897989,0.8039276735696761,0.19607232643032393,1,USGS value 1,19.0,19.0,0.0,observation-driven,19.010618212742333,5.522756750356731,,,,
112,die_cast -> transportation_auto,0.003411124657233512,0.0032508111816783015,0.9967491888183216,1,USGS value 1,1001.0,1001.0,0.0,structure-determined,1052.9669527713552,105.23870963090195,,,,
113,die_cast -> transportation_other,0.007839634425419338,0.06054507445590207,0.9394549255440979,1,USGS value 1,153.0,153.0,0.0,structure-determined,157.07860868392518,44.149831302958056,,,,
114,die_cast -> machine_industry,0.02538005753201958,0.3378001878916789,0.662199812108321,1,USGS value 1,36.0,36.0,0.0,structure-determined,36.35842517620642,10.481323385489533,,,,
115,die_cast -> electrical_equipment,0.01121281859643803,0.4485873046788097,0.5514126953211903,1,USGS value 1,47.0,47.0,0.0,structure-determined,47.06036421536211,13.31011606153634,,,,
116,die_cast -> consumer_durables,0.007517552981072328,0.16037568595591162,0.8396243140440883,1,USGS value 1,96.0,96.0,0.0,structure-determined,92.26296253287727,27.962592465195197,,,,
117,die_cast -> other_end_uses,0.1200122351040335,0.016907076860548716,0.9830929231394513,1,USGS value 1,74.0,74.0,0.0,structure-determined,75.92853157566923,20.999976720670105,,,,
118,sand_cast -> transportation_auto,0.042223666476403285,0.004493355874948928,0.9955066441250511,1,USGS value 1,242.0,242.0,0.0,structure-determined,211.42165475376797,23.593860339409233,,,,
119,sand_cast -> transportation_other,0.05229770377957459,0.12044153695874911,0.8795584630412508,1,USGS value 1,42.0,42.0,0.0,structure-determined,41.01143812714086,12.150073768028527,,,,
120,sand_cast -> machine_industry,0.36408254941916773,0.847725263957386,0.15227473604261393,1,USGS value 1,6.0,6.0,0.0,observation-driven,5.968650831471827,1.7491739985750934,,,,
121,sand_cast -> electrical_equipment,0.21842790641704454,0.7948211103559053,0.20517888964409473,1,USGS value 1,8.0,8.0,0.0,observation-driven,8.019676616826706,2.3503817368609456,,,,
122,sand_cast -> consumer_durables,0.08834860282432469,0.4912672797336853,0.5087327202663147,1,USGS value 1,16.0,16.0,0.0,structure-determined,15.796609661116277,4.739338214174504,,,,
123,sand_cast -> other_end_uses,0.20599979985183003,0.23972215548220113,0.7602778445177989,1,USGS value 1,15.0,15.0,0.0,structure-determined,14.8971080741704,4.374386576192488,,,,
124,permanent_semi_permanent_mold_cast -> transportation_auto,0.017067115764089723,0.002790635372479398,0.9972093646275205,1,USGS value 1,483.0,483.0,0.0,structure-determined,401.52310176371356,43.33292228322581,,,,
125,permanent_semi_permanent_mold_cast -> transportation_other,0.023252008803646973,0.09752162556335632,0.9024783744366436,1,USGS value 1,70.0,70.0,0.0,structure-determined,69.03521637903185,20.322785284223585,,,,
126,permanent_semi_permanent_mold_cast -> machine_industry,0.06471967407314966,0.5298783299389135,0.4701216700610865,1,USGS value 1,18.0,18.0,0.0,observation-driven,17.995388321456836,5.206819983184116,,,,
127,permanent_semi_permanent_mold_cast -> electrical_equipment,0.039092465913276156,0.49344862254491406,0.506551377455086,1,USGS value 1,24.0,24.0,0.0,structure-determined,24.029925005155345,7.092391254840325,,,,
128,permanent_semi_permanent_mold_cast -> consumer_durables,0.02475390306129705,0.19481900903690624,0.8051809909630937,1,USGS value 1,48.0,48.0,0.0,structure-determined,46.079539702584526,13.958381230917714,,,,
129,permanent_semi_permanent_mold_cast -> other_end_uses,0.1412143187653798,0.06806454116277806,0.9319354588372218,1,USGS value 1,34.0,34.0,0.0,structure-determined,33.80700695685053,9.881262627314293,,,,
130,other_cast -> other_end_uses,5.621602739939776,0.00028011654834101746,0.999719883451659,1,USGS value 1,84.0,84.0,0.0,structure-determined,25.598618709225093,2.567347922150822,,,,
131,import_mill_semifinished_products -> rolling,0.0005438049901250581,0.6078990049735873,0.3921009950264128,1,USGS value 1,1100.0,1100.0,0.0,observation-driven,1117.3781630773535,54.453167998039646,,,,
132,import_mill_semifinished_products -> extrusion,11.112270810756616,0.9998956379244841,0.00010436207551591302,1,USGS value 1,0.0,0.0,0.0,observation-driven,0.23658424040350887,0.17890646044134342,,,,
133,import_mill_semifinished_products -> drawing,0.03468950705904857,0.2188741433262906,0.7811258566737095,1,USGS value 1,229.5269584770069,229.5269584770069,0.0,structure-determined,226.14711350854316,11.364232358294913,,,,
134,import_mill_semifinished_products -> other_milling_processes,11.182403982454652,0.9936245487593365,0.006375451240663571,1,USGS value 1,0.0,0.0,0.0,observation-driven,0.23331860540727042,0.17694516978173538,,,,
135,import_mill_semifinished_products -> sheet_plate,11.111712544822268,0.9999458738957896,5.412610421037836e-05,1,USGS value 1,0.0,0.0,0.0,observation-driven,0.23712269502800232,0.17823678083992414,,,,
136,import_mill_semifinished_products -> foil,0.03129124537617368,0.3041791353301296,0.6958208646698705,1,USGS value 1,205.0,205.0,0.0,structure-determined,205.21452576993485,10.490248319124401,,,,
137,import_mill_semifinished_products -> extruded_products,11.113682119138435,0.9997686628068211,0.0002313371931788438,1,USGS value 1,0.0,0.0,0.0,observation-driven,0.2366244094465012,0.18080912360517445,,,,
138,import_mill_semifinished_products -> wire,0.022520279650968745,0.18246392976503636,0.8175360702349637,1,USGS value 1,312.0,312.0,0.0,structure-determined,305.52029100778935,15.102501758505557,,,,
139,import_mill_semifinished_products -> forging_impacts,11.592661080759648,0.9584607911596962,0.041539208840303855,1,USGS value 1,0.0,0.0,0.0,observation-driven,0.23203786750440744,0.17729094657165373,,,,
140,import_mill_semifinished_products -> powerder_paste,4.499207672840809,0.3951313002307549,0.6048686997692451,1,USGS value 1,15.0,15.0,0.0,structure-determined,15.004600714240437,0.7418671212049488,,,,
141,rolling -> scrap_rolling,0.003545002055959434,0.0012243371680085266,0.9987756628319915,1,USGS value 1,1600.0,1600.0,0.0,structure-determined,1756.918746155361,276.094504470036,,,,
142,rolling -> sheet_plate,0.0008152059710110536,0.0006695021200522527,0.9993304978799478,1,USGS value 1,4512.0,4512.0,0.0,structure-determined,3964.4538118242017,364.9871026094128,,,,
143,rolling -> foil,0.02201423396793663,0.0012676378384393425,0.9987323621615607,1,USGS value 1,631.0,631.0,0.0,structure-determined,465.9115443864195,107.08324996900845,,,,
144,rolling -> export_milling_semifinished_products,0.00022222827799839987,0.04050699735926865,0.9594930026407313,1,USGS value 1,1111.0,1111.0,0.0,structure-determined,588.6310947410267,228.09069638452135,,,,
145,scrap_rolling -> forming_scrap_generated,0.00459652178838903,0.0009442526278764666,0.9990557473721235,1,USGS value 1,1600.0,1600.0,0.0,structure-determined,1758.5108386527065,275.6930362989725,,,,
146,extrusion -> scrap_extrusion,0.01850255065357695,0.0011025877551379436,0.9988974122448621,1,USGS value 1,738.0,738.0,0.0,structure-determined,764.4062629853755,144.65458381657893,,,,
147,extrusion -> extruded_products,0.0037325678533288585,0.000498364818298368,0.9995016351817017,1,USGS value 1,2444.0,2444.0,0.0,structure-determined,1929.5799600751773,229.83550156081873,,,,
148,extrusion -> export_milling_semifinished_products,0.001371577968022403,0.154477782128886,0.8455222178711139,1,USGS value 1,229.0,229.0,0.0,structure-determined,203.44768268144037,65.70630640588594,,,,
149,scrap_extrusion -> forming_scrap_generated,0.018607597218229452,0.0010963632515361736,0.9989036367484638,1,USGS value 1,738.0,738.0,0.0,structure-determined,764.9412295750788,144.79177752730806,,,,
150,drawing -> scrap_drawing,0.5871320440463315,0.0013591196526008377,0.9986408803473992,1,USGS value 1,118.0,118.0,0.0,structure-determined,138.11171322084846,24.399867410071554,,,,
151,drawing -> wire,0.045562638475250626,0.0011989347312905774,0.9988010652687095,1,USGS value 1,451.0,451.0,0.0,structure-determined,418.90588922333137,42.78652821406567,,,,
152,drawing -> export_milling_semifinished_products,0.03370669311487094,0.19609821032448804,0.8039017896755121,1,USGS value 1,41.0,41.0,0.0,structure-determined,44.06317055714854,11.828672446612552,,,,
153,scrap_drawing -> forming_scrap_generated,0.5612999193374014,0.0014216690083922792,0.9985783309916078,1,USGS value 1,118.0,118.0,0.0,structure-determined,138.08853148783706,24.465875754236873,,,,
154,other_milling_processes -> scrap_other_milling_processes,0.36439624592701647,0.0006980572213420084,0.9993019427786579,1,USGS value 1,209.0,209.0,0.0,structure-determined,177.73326444249776,38.2333603098096,,,,
155,other_milling_processes -> forging_impacts,0.5531206187698572,0.0005022010902351766,0.9994977989097648,1,USGS value 1,200.0,200.0,0.0,structure-determined,140.69450199391724,25.463214469515716,,,,
156,other_milling_processes -> powerder_paste,2.7963958609887585,0.0013135102341650395,0.9986864897658349,1,USGS value 1,55.0,55.0,0.0,structure-determined,45.295421778659374,11.62316236004749,,,,
157,other_milling_processes -> export_milling_semifinished_products,11.182403982454652,0.9936245487593365,0.006375451240663571,1,USGS value 1,0.0,0.0,0.0,observation-driven,0.23359128350326178,0.18002460452470753,,,,
158,scrap_other_milling_processes -> forming_scrap_generated,0.29436812079363267,0.0008641201710751772,0.9991358798289247,1,USGS value 1,209.0,209.0,0.0,structure-determined,177.75977052025107,38.258268676311246,,,,
159,sheet_plate -> scrap_sheet_plate,0.01470873086276127,0.0012165496949698388,0.9987834503050301,1,USGS value 1,788.0,788.0,0.0,structure-determined,847.565480650589,125.7539874171197,,,,
