flow_idx,flow_label,source,value,coverage,frequency,spatial,sigma,relative_sigma
40,wrought_aluminum_ingot -> 2xxx,Other literature,85.0,1.0,1.0,1.0,25.5,0.3
40,wrought_aluminum_ingot -> 2xxx,USGS value 1,238.0,1.0,1.0,3.0,71.39999999999999,0.3
41,wrought_aluminum_ingot -> 3xxx,Other literature,1256.0,1.0,1.0,1.0,376.8,0.3
41,wrought_aluminum_ingot -> 3xxx,USGS value 1,2848.0,1.0,1.0,3.0,854.4,0.3
42,wrought_aluminum_ingot -> 4xxx,Other literature,50.0,1.0,1.0,1.0,15.0,0.3
42,wrought_aluminum_ingot -> 4xxx,USGS value 1,117.0,1.0,1.0,3.0,35.1,0.3
43,wrought_aluminum_ingot -> 5xxx,Other literature,3047.0,1.0,1.0,1.0,914.1,0.3
43,wrought_aluminum_ingot -> 5xxx,USGS value 1,2762.0,1.0,1.0,3.0,828.6,0.3
44,wrought_aluminum_ingot -> 6xxx,Other literature,3771.0,1.0,1.0,1.0,1131.3,0.3
44,wrought_aluminum_ingot -> 6xxx,USGS value 1,3218.0,1.0,1.0,3.0,965.4,0.3
45,wrought_aluminum_ingot -> 7xxx,Other literature,254.0,1.0,1.0,1.0,76.2,0.3
45,wrought_aluminum_ingot -> 7xxx,USGS value 1,887.0,1.0,1.0,3.0,266.09999999999997,0.3
46,wrought_aluminum_ingot -> 8xxx,Other literature,267.0,1.0,1.0,1.0,80.1,0.3
46,wrought_aluminum_ingot -> 8xxx,USGS value 1,94.0,1.0,1.0,3.0,28.2,0.3
47,cast_aluminum_ingot -> 36x,USGS value 1,139.9873943233654,,,,13.998739432336542,0.1
48,cast_aluminum_ingot -> 38x,USGS value 1,1369.275605676634,,,,136.92756056766342,0.1
49,cast_aluminum_ingot -> 2xx,USGS value 1,5.802579327688045,,,,0.5802579327688046,0.1
50,cast_aluminum_ingot -> 3xx,USGS value 1,567.7059997361048,,,,56.77059997361048,0.1
51,cast_aluminum_ingot -> 4xx,USGS value 1,7.889786477696971,,,,0.7889786477696972,0.1
52,cast_aluminum_ingot -> 5xx,USGS value 1,44.9000575912573,,,,4.49000575912573,0.1
