flow_idx,flow_label,total_precision,share_observations,share_mass_balance,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
69,other -> other_cast,5.921267850363948,0.027021240052527883,0.9729787599474721,1,USGS value 1,25.0,25.0,0.0,structure-determined,25.107815191934172,2.4883553470736635,,,,
70,cast_aluminum_ingot -> export_cast_aluminum_ingot,0.0019330301025663587,0.2826994363755569,0.717300563624443,1,USGS value 1,275.0,275.0,0.0,structure-determined,262.9075634578116,42.19766753457306,,,,
71,wrought_aluminum_ingot -> export_wrought_aluminum_ingot,0.00010900520393368078,0.0,1.0,0,,,,,structure-determined,224.81702821111944,201.02542088328096,,,,
72,die_cast -> scrap_cast,0.03801386914808755,0.00015047851848951028,0.9998495214815104,1,USGS value 1,530.0,530.0,0.0,structure-determined,535.0131167445942,211.01526338864588,,,,
73,scrap_cast -> die_cast,0.03801386914808755,0.00015047851848951028,0.9998495214815104,1,USGS value 1,530.0,530.0,0.0,structure-determined,535.1160975992653,210.95339601843335,,,,
74,sand_cast -> scrap_sand_cast,0.29901222852729453,0.00013846720289862718,0.9998615327971013,1,USGS value 1,197.0,197.0,0.0,structure-determined,196.63172438283226,79.58552605105747,,,,
75,scrap_sand_cast -> sand_cast,0.29901222852729453,0.00013846720289862718,0.9998615327971013,1,USGS value 1,197.0,197.0,0.0,structure-determined,196.65164720713827,79.5545421507773,,,,
76,permanent_semi_permanent_mold_cast -> scrap_semi_permanent_mold_cast,0.27386937121803767,0.00015117932586808613,0.9998488206741319,1,USGS value 1,197.0,197.0,0.0,structure-determined,199.74864161114303,79.80290508364304,,,,
77,scrap_semi_permanent_mold_cast -> permanent_semi_permanent_mold_cast,0.27386937121803767,0.00015117932586808613,0.9998488206741319,1,USGS value 1,197.0,197.0,0.0,structure-determined,199.72231922925027,79.8338258326587,,,,
78,other_cast -> scrap_other_cast,40.243350437671694,0.0001381580987784443,0.9998618419012216,1,USGS value 1,17.0,17.0,0.0,structure-determined,17.081035206482696,6.824077650814249,,,,
79,scrap_other_cast -> other_cast,40.243350437671694,0.0001381580987784443,0.9998618419012216,1,USGS value 1,17.0,17.0,0.0,structure-determined,17.081995052900727,6.824952857647299,,,,
80,die_cast -> export_cast_semifinished_products,0.12995931168496977,0.9814688824865098,0.018531117513490278,1,USGS value 1,18.0,18.0,0.0,observation-driven,17.991623332698463,2.7671967320247397,,,,
81,1xxx -> rolling,0.004442642745275394,0.00029040129008050077,0.9997095987099196,1,USGS value 1,1116.0,1116.0,0.0,structure-determined,1091.8020431375617,452.14774841676234,,,,
82,1xxx -> extrusion,0.005215769819402298,0.004103446530691278,0.9958965534693087,1,USGS value 1,274.0,274.0,0.0,structure-determined,274.05458235014896,117.80992639887369,,,,
83,1xxx -> drawing,0.06339266594740298,0.00031426254638088205,0.9996857374536191,1,USGS value 1,284.0,284.0,0.0,structure-determined,91.63496097991083,30.150206950243977,,,,
84,1xxx -> other_milling_processes,0.07502411782780347,0.007344798815177104,0.9926552011848229,1,USGS value 1,54.0,54.0,0.0,structure-determined,56.572253555526935,22.78422011595297,,,,
85,2xxx -> rolling,0.4796066711337227,0.0002250937543048724,0.9997749062456951,1,USGS value 1,122.0,122.0,0.0,structure-determined,72.14069575889218,31.717469943960324,,,,
