node,n_out,n_observed,status,quality_index,total_value,total_sigma,kappa,total_map,kappa_likelihood,kappa_prior
39,1,0,unobserved,0.0,,,2.0,191.28569032297597,2.0,0.0
40,2,0,unobserved,0.0,,,2.0,41.88578130457598,2.0,21.512355320015402
41,1,0,unobserved,0.0,,,2.0,16.56186562161685,2.0,0.0
42,4,0,unobserved,0.0,,,2.0,1452.9987444626154,2.0,44.979156777135884
43,4,0,unobserved,0.0,,,2.0,153.71809343365226,2.0,71.63764859098315
44,4,0,unobserved,0.0,,,2.0,1746.8283514711065,2.0,113.7525723217613
45,2,0,unobserved,0.0,,,2.0,81.49978478624456,2.0,10.034282301972556
46,4,0,unobserved,0.0,,,2.0,2248.147479203655,2.0,111.62119315815953
47,4,0,unobserved,0.0,,,2.0,2988.259243167451,2.0,200.0
48,4,0,unobserved,0.0,,,2.0,491.9821974564841,2.0,195.48507472047325
49,4,0,unobserved,0.0,,,2.0,78.8885246867397,2.0,34.75404855221613
50,10,5,partially_observed,1.0,,,200.0,1878.2462379948538,200.0,200.0
51,4,2,partially_observed,0.29921783543195046,,,61.24513141552619,6901.637578423217,61.24513141552619,200.0
52,1,0,unobserved,0.0,,,2.0,1699.5146887401347,2.0,0.0
53,3,2,partially_observed,0.2992178354319504,,,61.24513141552618,3179.5323999735565,61.24513141552618,52.5650549434655
54,1,0,unobserved,0.0,,,2.0,766.1200326892035,2.0,0.0
55,3,1,partially_observed,0.29921783543195046,,,61.24513141552619,553.7289665061307,61.24513141552619,96.36287155156815
56,1,0,unobserved,0.0,,,2.0,178.34088349250652,2.0,0.0
57,4,2,partially_observed,0.29921783543195046,,,61.24513141552619,343.4578906527507,61.24513141552619,200.0
58,1,0,unobserved,0.0,,,2.0,161.1071885307756,2.0,0.0
59,9,0,unobserved,0.0,,,2.0,4423.560205013225,2.0,200.0
60,1,0,unobserved,0.0,,,2.0,829.5499683050706,2.0,0.0
61,9,0,unobserved,0.0,,,2.0,625.9861070663801,2.0,200.0
62,1,0,unobserved,0.0,,,2.0,30.99665589183584,2.0,0.0
63,8,0,unobserved,0.0,,,2.0,2350.777886828939,2.0,200.0
64,1,0,unobserved,0.0,,,2.0,103.68954356868987,2.0,0.0
65,6,0,unobserved,0.0,,,2.0,364.76578514243056,2.0,200.0
66,7,0,unobserved,0.0,,,2.0,144.66527734813423,2.0,200.0
67,1,0,unobserved,0.0,,,2.0,56.255237499745995,2.0,0.0
68,8,0,unobserved,0.0,,,2.0,2776.3612161625647,2.0,200.0
69,2,1,partially_observed,0.3890244030083396,,,79.02683179565125,1279.5777597888557,79.02683179565125,123.08338011621153
70,2,1,partially_observed,0.3890244030083396,,,79.02683179565125,3300.253208591454,79.02683179565125,16.976890668250974
71,2,1,partially_observed,0.3890244030083395,,,79.02683179565122,1551.9259325083062,79.02683179565122,32.77118937573414
72,2,1,partially_observed,0.3890244030083396,,,79.02683179565125,818.4469895032427,79.02683179565125,27.455472543575304
73,2,1,partially_observed,0.3890244030083396,,,79.02683179565125,1408.8261922614574,79.02683179565125,24.12516308614134
74,2,1,partially_observed,0.3890244030083396,,,79.02683179565125,1702.7861768696675,79.02683179565125,46.88297797909644
75,2,1,partially_observed,0.3890244030083396,,,79.02683179565125,1731.296436447783,79.02683179565125,200.0
76,2,1,partially_observed,0.3890244030083396,,,79.02683179565125,281.30049131796324,79.02683179565125,200.0
77,1,1,fully_observed,0.29921783543195046,294.296832,210.64091400675565,61.24513141552619,237.06626042312604,61.24513141552619,0.0
78,1,1,fully_observed,0.29921783543195046,1401.194965,1002.8955667768247,61.24513141552619,1135.765238139905,61.24513141552619,0.0
79,1,1,fully_observed,0.29921783543195046,565.5488941,404.78769397264136,61.24513141552619,452.87381687695637,61.24513141552619,0.0
80,1,1,fully_observed,0.29921783543195046,282.9262632,202.50250834152342,61.24513141552619,233.65078822976074,61.24513141552619,0.0
81,1,1,fully_observed,0.29921783543195046,378.8634735,271.16890045834487,61.24513141552619,299.45572542382513,61.24513141552619,0.0
82,1,1,fully_observed,0.2992178354319506,944.0480768,675.6958558203978,61.24513141552622,732.6859150370552,61.24513141552622,0.0
83,1,1,fully_observed,0.9503776020482201,1699.847102,165.12531998499267,190.17476520554757,1653.5494877431386,190.17476520554757,0.0
84,1,1,fully_observed,0.29921783543195046,262.6861837,188.015811979636,61.24513141552619,246.01996404859796,61.24513141552619,0.0
