flow_idx,from_node,to_node,posterior_median,posterior_ci_lo,posterior_ci_hi,posterior_ci_width,relative_ci_width,obs: Other literature,obs: USGS value 1,obs: USGS value 2,n_observations,determined_by,prior_mean,prior_sd,contraction,shift_in_prior_sd,share_observations,share_mass_balance
63,2xx,permanent_semi_permanent_mold_cast,3.8514858318930476,3.197720485460551,4.491619402720335,1.2938989172597841,0.33594798831800937,,3.846113527129276,,1,structure-determined,,,,,0.0220871476356832,0.9779128523643168
64,3xx,permanent_semi_permanent_mold_cast,368.5734193879946,305.92560089749907,429.70202354139866,123.7764226438996,0.3358256893549913,,376.2915768507814,,1,structure-determined,,,,,0.0144267422063418,0.9855732577936582
65,4xx,permanent_semi_permanent_mold_cast,5.243365187666818,4.379273043542641,6.115748803100606,1.7364757595579654,0.33117581885053843,,5.229573399063292,,1,structure-determined,,,,,0.0220843499038349,0.9779156500961652
66,5xx,permanent_semi_permanent_mold_cast,29.823800722571402,24.807649475610567,34.776442298519456,9.968792822908888,0.3342562846245232,,29.76102679830564,,1,structure-determined,,,,,0.0219847230958132,0.9780152769041868
67,7xx,permanent_semi_permanent_mold_cast,5.339525953947119,4.452827660043787,6.222215477990229,1.7693878179464422,0.33137545040650357,,5.324656551773534,,1,structure-determined,,,,,0.022084146475553,0.9779158535244468
68,other,permanent_semi_permanent_mold_cast,169.8466588543239,141.52015579932004,198.68208733069278,57.161931531372744,0.3365502266394305,,169.5470528729468,,1,structure-determined,,,,,0.0237827453019105,0.9762172546980894
69,other,other_cast,25.136031646772977,20.265868892849138,29.989764322102307,9.723895429253169,0.3868508587950296,,25.0,,1,structure-determined,,,,,0.0270283759242261,0.9729716240757738
70,cast_aluminum_ingot,export_cast_aluminum_ingot,268.0456032276519,215.02126225755578,319.6326155572077,104.61135329965194,0.3902744609125531,,275.0,,1,structure-determined,,,,,0.4978511079164092,0.5021488920835907
71,wrought_aluminum_ingot,export_wrought_aluminum_ingot,127.41539403635718,4.339305819976244,565.3244010220968,560.9850952021205,4.402804695969837,,,,0,structure-determined,,,,,0.0,1.0
72,die_cast,scrap_cast,524.577067510417,153.88825989569418,909.3394441441163,755.4511842484221,1.4401147725227628,,530.0,,1,structure-determined,,,,,0.000182513345939,0.9998174866540608
73,scrap_cast,die_cast,524.6343352926698,155.0944813480661,909.5193334160183,754.4248520679522,1.4380012921706558,,530.0,,1,structure-determined,,,,,0.000182513345939,0.9998174866540608
74,sand_cast,scrap_sand_cast,197.4734347486338,56.09187415580519,336.6687410347671,280.5768668789619,1.4208334768477158,,197.0,,1,structure-determined,,,,,0.000168149328432,0.999831850671568
75,scrap_sand_cast,sand_cast,197.38769580325402,56.514528270820634,336.63564810748517,280.12111983666455,1.419141748915672,,197.0,,1,structure-determined,,,,,0.000168149328432,0.999831850671568
76,permanent_semi_permanent_mold_cast,scrap_semi_permanent_mold_cast,197.0078394399283,55.89042905330143,336.14524062666845,280.254811573367,1.4225566473400284,,197.0,,1,structure-determined,,,,,0.0001835781399397,0.99981642186006
77,scrap_semi_permanent_mold_cast,permanent_semi_permanent_mold_cast,197.24222990712735,56.56544905789868,336.1073182108548,279.54186915295617,1.4172516163733297,,197.0,,1,structure-determined,,,,,0.0001835781399397,0.99981642186006
78,other_cast,scrap_other_cast,16.87102150294151,4.906961510696224,28.94648615483143,24.039524644135206,1.4249003618390177,,17.0,,1,structure-determined,,,,,0.0001678449256406,0.9998321550743592
79,scrap_other_cast,other_cast,16.8832582692878,4.920911406440916,28.999112329043847,24.07820092260293,1.426158419101092,,17.0,,1,structure-determined,,,,,0.0001678449256406,0.9998321550743592
80,die_cast,export_cast_semifinished_products,17.989870165168327,14.54513757604336,21.46231483445595,6.91717725841259,0.3845040122527125,,18.0,,1,observation-driven,,,,,0.9925104082953052,0.0074895917046947
81,1xxx,rolling,1092.6102098115744,305.5465976691362,1908.8065509463372,1603.259953277201,1.4673668055451272,,1116.0,,1,structure-determined,,,,,0.0003488323257444,0.9996511676742554
82,1xxx,extrusion,278.64468670724875,71.83877783413962,476.4960714764619,404.6572936423223,1.4522340204084554,,274.0,,1,structure-determined,,,,,0.0049314264281926,0.9950685735718072
83,1xxx,drawing,75.55385819990929,57.47147578943962,140.50651900784874,83.03504321840911,1.0990179085058136,,284.0,,1,structure-determined,,,,,0.0003586961229544,0.9996413038770456
84,1xxx,other_milling_processes,57.15611165528135,14.270475193327446,94.43816240996289,80.16768721663544,1.4026091855257927,,54.0,,1,structure-determined,,,,,0.0090091939883356,0.9909908060116644
