flow_idx,from_node,to_node,posterior_median,posterior_ci_lo,posterior_ci_hi,posterior_ci_width,relative_ci_width,obs: observation_2022,n_observations,determined_by,prior_mean,prior_sd,contraction,shift_in_prior_sd,share_observations,share_prior,share_mass_balance,share_allocation,share_aggregate_observations
54,cast_aluminum_ingot,other,267.13632762252337,233.93079277574498,300.6624515079218,66.73165873217681,0.24980375872528984,,0,structure-determined,280.10223539297266,19.542479304868827,0.2479542422426457,-0.6543913328012131,0.0,0.3886818252661024,0.609475652913952,0.0018425218199455,0.0
55,36x,die_cast,131.11654853206454,108.09675880332856,154.07434740517635,45.9775886018478,0.35066198063171244,,0,structure-determined,142.71675487601877,12.40373166347165,0.0857200937907626,-0.9340231440595628,0.0,0.3779204713281943,0.6220795286718057,0.0,0.0
56,38x,die_cast,1194.1371409088506,1067.5821716366345,1320.6557935368976,253.0736219002631,0.21193011525263364,,0,structure-determined,1304.326330751646,117.77117160534736,0.7035262226423065,-0.9380750302494532,0.0,0.3358377980914568,0.664162201908543,0.0,0.0
57,2xx,sand_cast,1.9202198205215095,1.5946251314249522,2.247605298641206,0.6529801672162538,0.3400549042551347,,0,structure-determined,1.9275870665916748,0.2291492445556033,0.4800902685726742,-0.0229559568293126,0.0,0.4132787338579184,0.5384637171902933,0.0482575489517883,0.0
58,3xx,sand_cast,187.90935370216758,159.97551159977655,216.16986097320873,56.194349373432175,0.2990503041296127,,0,structure-determined,186.43316276433228,22.141008533633418,0.586998716506662,0.0731545110223638,0.0,0.443778577380335,0.5336850004195794,0.0225364222000855,0.0
59,4xx,sand_cast,2.7188121787955795,2.2772136476702087,3.142424128261541,0.8652104805913323,0.31823105962936227,,0,structure-determined,2.615375270615681,0.3109376983646081,0.4916065074967546,0.3222780575390275,0.0,0.4121131819304368,0.5390289544473039,0.0488578636222592,0.0
60,5xx,sand_cast,14.978719048007482,12.520574377265474,17.38102031905941,4.860445941793936,0.3244900933261371,,0,structure-determined,14.897199490731769,1.7469404743282833,0.4918914535120694,0.0400154453016794,0.0,0.4043034123105059,0.5459428773148504,0.0497537103746437,0.0
61,7xx,sand_cast,2.5655411381474664,2.109099897910323,3.02631674296871,0.9172168450583871,0.3575139885383766,,0,structure-determined,2.6607291506722435,0.3158541843741149,0.4616617573735146,-0.3043587864464973,0.0,0.4183109016418972,0.5318116404351596,0.0498774579229429,0.0
62,other,sand_cast,83.20653993664294,69.62181981907759,96.99560664470742,27.373786825629836,0.328986000937828,,0,structure-determined,85.02415867147519,10.019272279998887,0.5206197344277577,-0.1848145785563626,0.0,0.4082186579816177,0.5453595724893563,0.0464217695290258,0.0
63,2xx,permanent_semi_permanent_mold_cast,4.01780736075081,3.4013406452170822,4.61858434389211,1.2172436986750275,0.30296218543627745,,0,structure-determined,3.855112716230267,0.4017260155897301,0.4045859612079485,0.3975420386822935,0.0,0.4110541600114688,0.5759824478022613,0.01296339218627,0.0
64,3xx,permanent_semi_permanent_mold_cast,358.16553597483846,309.6827305503772,404.8440530551053,95.1613225047281,0.2656908969360282,,0,structure-determined,368.45713755306986,38.66934653666276,0.6085137381515977,-0.2714556379271667,0.0,0.3936584824112226,0.5985184482517171,0.0078230693370602,0.0
65,4xx,permanent_semi_permanent_mold_cast,5.220798258556623,4.420720537867491,6.043546911853095,1.6228263739856041,0.31083874411846396,,0,structure-determined,5.2429457675893545,0.5407184175221199,0.4189927865475822,-0.0404853303264244,0.0,0.4087415564307639,0.5781615578478965,0.0130968857213396,0.0
66,5xx,permanent_semi_permanent_mold_cast,29.62865812874852,25.0451481598965,34.27786723273118,9.232719072834684,0.3116144859721551,,0,structure-determined,29.7938134900044,3.091221998000252,0.4098223640893254,-0.0507780341731094,0.0,0.4052200579997434,0.5814449049578667,0.0133350370423899,0.0
67,7xx,permanent_semi_permanent_mold_cast,5.493569463967652,4.66147645233519,6.335614094851736,1.6741376425165457,0.30474496654629063,,0,structure-determined,5.335084347726071,0.5485515775683046,0.3852627152591382,0.2910726672212348,0.0,0.4223829611864118,0.5643968502812341,0.013220188532354,0.0
68,other,permanent_semi_permanent_mold_cast,161.31753061080786,137.78856721893558,185.71306376575083,47.92449654681525,0.29708176393077285,,0,structure-determined,169.87911075530403,18.038928536016645,0.5317910779514923,-0.4664910413664788,0.0,0.379556807294321,0.6041673081309807,0.0162758845746983,0.0
69,other,other_cast,22.630981000506694,17.59914043263718,27.732454155155118,10.133313722517936,0.4477629017624582,,0,structure-determined,25.14098450400209,3.0430374389522385,0.2883906969951542,-0.8201344221575032,0.0,0.3824759721029993,0.614257157120191,0.0032668707768096,0.0
70,cast_aluminum_ingot,export_cast_aluminum_ingot,254.48836632091727,223.86145203796266,279.96212163934763,56.100669601384965,0.22044492804295965,300.0,1,structure-determined,267.6259624585081,32.686296042498434,0.8030131944179028,-0.4186753529502786,0.1095750675084491,0.1791400824679401,0.1423164225444139,0.0389022106274208,0.5300662168517758
71,wrought_aluminum_ingot,export_wrought_aluminum_ingot,15.378568380670842,0.7586611366642059,51.45770072294903,50.69903958628482,3.2967333714891107,,0,structure-determined,169.17758443584242,186.40045605564623,0.9944521480736837,-0.8093706669417807,0.0,0.017025931348968,0.0254668364235514,0.0063537397591744,0.951153492468306
72,die_cast,scrap_cast,404.12551843082997,180.6275579638962,628.46567811059,447.8381201466938,1.108165903221342,,0,structure-determined,529.2154884024293,253.88090077156048,0.7944951422308031,-0.4889584589576957,0.0,0.082004776204244,0.917799947228492,0.000195276567264,0.0
73,scrap_cast,die_cast,403.95978080033444,180.9514011759068,628.7161746604385,447.7647734845317,1.1084389950836437,,0,structure-determined,529.2850758326473,253.7891804027685,0.7941507557053831,-0.4898642001152198,0.0,0.0820792563248426,0.9179207436751572,0.0,0.0
74,sand_cast,scrap_sand_cast,205.61196463890343,99.0496553863497,311.07798211181216,212.02832672546248,1.0312061707976357,,0,prior-informed,196.64078487986765,93.83111446858469,0.6711079553339366,0.0892994515910458,0.0,0.5025351751785394,0.4968852169108618,0.0005796079105987,0.0
75,scrap_sand_cast,sand_cast,206.00308524936082,100.09473241753673,311.4397212124017,211.34498879486497,1.025931182239518,,0,prior-informed,196.6838953812517,93.84342898170654,0.6709004673504422,0.0943746131576371,0.0,0.502796813417781,0.497203186582219,0.0,0.0
