var_idx,lower,upper
127,1.2000000000000002,10.8
128,1.6,14.4
129,3.2,28.8
130,3.0,27.0
131,96.60000000000001,869.4
132,14.0,126.0
133,3.6,32.4
134,4.800000000000001,43.2
135,9.600000000000001,86.4
136,6.800000000000001,61.2
137,16.8,151.20000000000002
138,220.0,1980.0
139,0.0,0.0
140,45.9053917,413.1485253
141,0.0,0.0
142,0.0,0.0
143,41.0,369.0
144,0.0,0.0
145,62.400000000000006,561.6
146,0.0,0.0
147,3.0,27.0
148,320.0,2880.0
149,902.4000000000001,8121.6
150,126.2,1135.8
151,222.20000000000002,1999.8
152,320.0,2880.0
153,147.6,1328.4
154,488.8,4399.2
155,45.800000000000004,412.2
156,147.6,1328.4
157,23.6,212.4
158,90.2,811.8000000000001
159,8.200000000000001,73.8
160,23.6,212.4
161,41.800000000000004,376.2
162,40.0,360.0
163,11.0,99.0
164,0.0,0.0
165,41.800000000000004,376.2
166,157.60000000000002,1418.4
167,111.4,1002.6
168,177.60000000000002,1598.4
169,126.60000000000001,1139.4
170,57.400000000000006,516.6
171,30.6,275.40000000000003
172,57.0,513.0
173,341.20000000000005,3070.8
174,6.6000000000000005,59.4
175,157.60000000000002,1418.4
176,6.2,55.800000000000004
177,3.4000000000000004,30.6
178,7.2,64.8
179,3.8000000000000003,34.2
180,0.6000000000000001,5.4
181,1.0,9.0
182,27.400000000000002,246.6
183,84.60000000000001,761.4
184,0.2,1.8
185,6.2,55.800000000000004
186,20.6,185.4
187,183.0,1647.0
188,56.800000000000004,511.2
189,69.2,622.8000000000001
190,47.400000000000006,426.6
191,48.6,437.40000000000003
192,49.400000000000006,444.6
193,7.800000000000001,70.2
194,20.6,185.4
195,3.0844256000000003,27.759830400000002
196,2.4493968,22.0445712
197,1.7236496,15.512846399999999
198,81.46512320000001,733.1861088
199,2.0,18.0
200,1.0,9.0
201,6.606892152,59.462029368
202,18.612823048000003,167.51540743200002
203,0.907184,8.164656
204,0.0907184,0.8164656
205,1.9958048000000002,17.962243200000003
206,0.0,0.0
207,0.907184,8.164656
208,11.0,99.0
209,40.800000000000004,367.2
210,131.20000000000002,1180.8
211,45.0,405.0
212,48.2,433.8
213,103.2,928.8000000000001
214,182.20000000000002,1639.8
215,0.0,0.0
216,0.0,0.0
217,11.0,99.0
218,334.903652,3014.132868
219,160.4,1443.6000000000001
220,547.3927480000001,4926.534732
221,45.2,406.8
222,292.955979,2636.603811
223,20.6,185.4
224,232.665935,2093.993415
225,54.0,486.0
226,232.1548082,2089.3932738
227,41.800000000000004,376.2
228,189.83602402,1708.52421618
229,0.0,0.0
230,425.83216960000004,3832.4895264
231,0.0,0.0
232,68.5831104,617.2479936
233,41.400000000000006,372.6
234,280.40000000000003,2523.6
235,88.2,793.8000000000001
236,44.800000000000004,403.2
237,57.400000000000006,516.6
238,150.8,1357.2
239,321.6,2894.4
240,49.400000000000006,444.6
