node,flow_idx,share_mean,share_sd,n_out,source_year
42,81,0.7017719331973817,0.12023303908653887,4,2017
42,82,0.19690625717344437,0.0979924172817161,4,2017
42,83,0.06004714208135647,0.026959987547354427,4,2017
42,84,0.04127466754781736,0.022921332536417326,4,2017
43,85,0.4763906019607825,0.17348441706153087,4,2017
43,86,0.46387981656661087,0.1743083583129198,4,2017
43,87,0.019570637830447553,0.010253295917021937,4,2017
43,88,0.04015894364215913,0.020517671443527105,4,2017
44,89,0.7647137690651337,0.10462886471229671,4,2017
44,90,0.20530975294171577,0.09967823627103956,4,2017
44,91,0.019144615585662272,0.012145167280557251,4,2017
44,92,0.01083186240748843,0.005987715494770833,4,2017
45,93,0.27582231129459495,0.13454427460152532,2,2017
45,94,0.724177688705405,0.13454427460152535,2,2017
46,95,0.8906309344363794,0.05435928505742783,4,2017
46,96,0.07901661157237035,0.04540378046277032,4,2017
46,97,0.019230706010284437,0.01180195248862475,4,2017
46,98,0.011121747980965857,0.006675411213172157,4,2017
47,99,0.291814891752076,0.10219229056209321,4,2017
47,100,0.6910900093886386,0.10106247346986147,4,2017
47,101,0.0151310315659914,0.006983319223687895,4,2017
47,102,0.0019640672932939992,0.0009084542441150174,4,2017
48,103,0.3260349583655459,0.13001787265632345,4,2017
48,104,0.31273591330432227,0.1302975885729809,4,2017
48,105,0.005894197412931107,0.0028029573013821883,4,2017
48,106,0.3553349309172007,0.1257834722626854,4,2017
49,107,0.09617622616945087,0.047930428359437095,4,2017
49,108,0.46524884490138835,0.14712291448325207,4,2017
49,109,0.3972302934624011,0.1468313440138971,4,2017
49,110,0.041344635466759753,0.021908294572855064,4,2017
50,131,0.6013788485588063,0.013449746544947268,10,2017
50,132,0.0002249722671869524,0.00014554165873670644,10,2017
50,133,0.11938648626415306,0.0065102556360266805,10,2017
50,134,0.00022892445659353924,0.00014517226246375307,10,2017
50,135,0.00022739338301204894,0.00014590607671087722,10,2017
50,136,0.10960780838707297,0.005950234638931647,10,2017
50,137,0.00022710436916461468,0.00014702634854970394,10,2017
50,138,0.16050531142791413,0.008290059072664164,10,2017
