flow_idx,flow_label,total_precision,share_observations,share_prior,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
68,other -> permanent_semi_permanent_mold_cast,0.10330925129627548,0.0,0.958881909177719,0.041118090822281114,0.0,0,,,,,prior-informed,160.69989999446446,12.525312568458235,169.87911075530403,18.038928536016645,0.5178794216715239,-0.50885565306788
69,other -> other_cast,4.162457374840156,0.0,0.9915309620460606,0.008469037953939478,0.0,0,,,,,prior-informed,22.775831884070193,2.639432438661954,25.14098450400209,3.0430374389522385,0.2476732420853589,-0.7772341508707346
70,cast_aluminum_ingot -> export_cast_aluminum_ingot,0.00921648269685646,0.127756984497145,0.2088650024049419,0.04535729918349217,0.6180207139144208,1,observation_2022,300.0,300.0,0.0,structure-determined,253.5864895880416,14.371730118107536,267.6259624585081,32.686296042498434,0.806675593038199,-0.4295216824877478
71,wrought_aluminum_ingot -> export_wrought_aluminum_ingot,0.005835986241980427,0.0,0.01747085885357091,0.006519777875856794,0.9760093632705722,0,,,,,structure-determined,18.309326665391808,13.829177575872237,169.17758443584242,186.40045605564623,0.9944957422140228,-0.8093770850292975
72,die_cast -> scrap_cast,0.026687355198606644,0.0,0.997624374186147,0.0023756258138529253,0.0,0,,,,,prior-informed,398.5429409403203,113.57729512065328,529.2154884024293,253.88090077156048,0.7998650292059066,-0.5147001884150665
73,scrap_cast -> die_cast,0.02664463016484918,0.0,1.0,0.0,0.0,0,,,,,prior-informed,398.5429409403203,113.57729512065328,529.2850758326473,253.7891804027685,0.7997203439963474,-0.515160396849214
74,sand_cast -> scrap_sand_cast,0.20576088368537998,0.0,0.9988479608827235,0.0011520391172764942,0.0,0,,,,,prior-informed,205.37652177437886,53.220409112753764,196.64078487986765,93.83111446858469,0.6782914019203976,0.09310064091198651
75,scrap_sand_cast -> sand_cast,0.20549933801652034,0.0,1.0,0.0,0.0,0,,,,,prior-informed,205.37652177437886,53.22040911275377,196.68389538125172,93.84342898170654,0.6783758281793552,0.09262903633691441
76,permanent_semi_permanent_mold_cast -> scrap_semi_permanent_mold_cast,0.18796710786939466,0.0,0.9981297460478307,0.0018702539521693582,0.0,0,,,,,prior-informed,152.97475557003523,46.799389899097974,196.70812922789122,93.69012960590658,0.7504872726407887,-0.46678741764808995
77,scrap_semi_permanent_mold_cast -> permanent_semi_permanent_mold_cast,0.18734181415631923,0.0,1.0,0.0,0.0,0,,,,,prior-informed,152.97475557003523,46.79938989909798,196.74695416880397,93.76358193392439,0.7508780450860922,-0.4668358193655102
78,other_cast -> scrap_other_cast,27.37345482423298,0.0,0.998319012151721,0.0016809878482789986,0.0,0,,,,,prior-informed,15.265429598170861,4.266396832213993,16.95201152827758,8.086100712580926,0.7216160427563462,-0.20857790300368334
79,scrap_other_cast -> other_cast,27.317277635081393,0.0,1.0,0.0,0.0,0,,,,,prior-informed,15.265429598170861,4.266396832213993,16.954417006312614,8.08656332650649,0.7216478932733943,-0.2088634367835241
80,die_cast -> export_cast_semifinished_products,0.2189718317210491,0.0,0.9951593424078409,0.004840657592159178,0.0,0,,,,,prior-informed,18.39469649355405,2.1537826871044263,17.994872291518558,2.1779150713819653,0.022038219186072405,0.18358117232817078
81,1xxx -> rolling,0.003010732363422186,0.0,0.9974486399788637,0.002551360021136319,0.0,0,,,,,prior-informed,970.0023820918578,228.8634124298926,1096.748074637916,542.7773311037917,0.8222091788351895,-0.23351323882356737
82,1xxx -> extrusion,0.003613215726770224,0.0,0.9873511752435757,0.012648824756424218,0.0,0,,,,,prior-informed,267.2255357205793,94.6510374312915,276.5958503083075,141.20293340375594,0.550672169404667,-0.06636062269991744
83,1xxx -> drawing,0.04764058639192638,0.0,0.9889819793238886,0.011018020676111302,0.0,0,,,,,prior-informed,107.90561515805175,22.510957838639722,81.93523829211385,27.491647458804405,0.32951909010896974,0.944664262294717
84,1xxx -> other_milling_processes,0.05207325149271306,0.0,0.9856240664954955,0.014375933504504501,0.0,0,,,,,prior-informed,52.93613653346939,20.974283539077213,56.27330479752844,28.116236328632866,0.44350675220914193,-0.11869185566136974
85,2xxx -> rolling,0.30358649561472556,0.0,0.9965982169171329,0.00340178308286714,0.0,0,,,,,prior-informed,70.35289474176575,23.566203561045633,74.4028345987459,40.601569922624,0.6631057518135246,-0.09974835615219496
86,2xxx -> extrusion,0.3044756491312619,0.0,0.9964774048844371,0.003522595115562788,0.0,0,,,,,prior-informed,71.40941198025669,23.28585103032156,72.52075883153483,40.49493315162361,0.669339089881648,-0.02744409645317772
87,2xxx -> drawing,0.8813456754725654,0.0,0.864753394571309,0.13524660542869102,0.0,0,,,,,prior-informed,4.182058498801345,1.3458047204076964,2.8881594937787756,1.5435986617860513,0.23985698739340444,0.8382353762379127
88,2xxx -> other_milling_processes,0.5609294720721822,0.0,0.8065837768604875,0.1934162231395124,0.0,0,,,,,prior-informed,7.817695093064786,2.2654344447813073,5.939523285412546,3.1304869187323394,0.4763040537388712,0.5999615575498993
89,3xxx -> rolling,0.0022876659676674387,0.0,0.9982256499196213,0.0017743500803787332,0.0,0,,,,,prior-informed,1215.494986569729,271.59154521014995,1441.149434392954,656.9325537444499,0.8290807710366819,-0.3434971315350672
90,3xxx -> extrusion,0.002846104684186396,0.0,0.9839601995078888,0.016039800492111175,0.0,0,,,,,prior-informed,326.530937774106,107.37788334090573,354.72059240212,184.6230213177422,0.6617342944039546,-0.1526876465719771
91,3xxx -> drawing,0.04849072442662656,0.0,0.9803799357629454,0.019620064237054632,0.0,0,,,,,prior-informed,44.37478375781205,16.412302668121175,32.15482952009061,20.438241449292207,0.35515997818843636,0.5978965591555151
92,3xxx -> other_milling_processes,0.06178983280101657,0.0,0.9843429720842625,0.01565702791573759,0.0,0,,,,,prior-informed,22.846586044676997,8.495088224932202,18.187929315325235,9.325035901293889,0.1700828063776545,0.4995859296054134
93,4xxx -> rolling,0.9912250957707625,0.0,0.9935309570090018,0.006469042990998113,0.0,0,,,,,prior-informed,26.24101482190273,8.807727204041909,21.941110914600124,12.22152272466358,0.48062974806080583,0.35183045551477876
