node,n_out,n_observed,status,quality_index,total_value,total_sigma,kappa,total_map,kappa_likelihood
26,1,1,fully_observed,0.9473684210526316,147.475924987329,14.7475924987329,189.57894736842107,145.94149898922316,189.57894736842107
27,1,1,fully_observed,0.9473684210526316,1442.524075012671,144.2524075012671,189.57894736842107,1363.1996457198463,189.57894736842107
28,2,2,fully_observed,0.9473684210526316,5.769170290693913,0.4300085647921272,189.57894736842107,5.768886546694484,189.57894736842107
29,2,2,fully_observed,0.9473684210526316,564.4373652761719,42.07067725994667,189.57894736842107,561.6116125878021,189.57894736842107
30,2,2,fully_observed,0.9473684210526316,7.844360098594938,0.5846840806815078,189.57894736842107,7.843886399185519,189.57894736842107
31,2,2,fully_observed,0.9473684210526316,44.64154019745846,3.327383950060217,189.57894736842107,44.62075016209823,189.57894736842107
32,2,2,fully_observed,0.9473684210526316,7.986984827660302,0.5953147003302625,189.57894736842107,7.9865231487507575,189.57894736842107
33,3,3,fully_observed,0.9473684210526315,279.3205793094202,19.12008209249565,189.57894736842104,280.60058125336985,189.57894736842104
34,9,9,fully_observed,0.371568920611536,1974.0,823.84294495119,75.57064628108414,2057.7479849010374,75.57064628108414
35,1,1,fully_observed,0.29921783543195046,530.0,379.34381986001296,61.24513141552619,548.6566003193624,61.24513141552619
36,7,7,fully_observed,0.2992178354319504,526.0,226.01846610230982,61.24513141552618,474.83513427833464,61.24513141552618
37,1,1,fully_observed,0.29921783543195046,197.0,141.00138209891048,61.24513141552619,180.42466950527094,61.24513141552619
38,7,7,fully_observed,0.2992178354319504,874.0,379.65294892333156,61.24513141552618,763.8035135053083,61.24513141552618
39,1,1,fully_observed,0.29921783543195046,197.0,141.00138209891048,61.24513141552619,176.1132742192868,61.24513141552619
40,2,2,fully_observed,0.29921783543195046,101.0,61.34130958187875,61.24513141552619,32.18108112431526,61.24513141552619
41,1,1,fully_observed,0.29921783543195046,17.0,12.167631957774,61.24513141552619,5.704198197155058,61.24513141552619
42,4,4,fully_observed,0.29921783543195046,1728.0,848.118978819211,61.24513141552619,538.1505596643831,61.24513141552619
43,4,4,fully_observed,0.29921783543195046,239.0,116.71879902962958,61.24513141552619,153.14143394117716,61.24513141552619
44,4,4,fully_observed,0.29921783543195046,2849.0,1749.3312324098608,61.24513141552619,1730.4396248386765,61.24513141552619
45,2,2,fully_observed,0.29921783543195046,117.0,68.74487567733989,61.24513141552619,87.54117095978737,61.24513141552619
46,4,4,fully_observed,0.29921783543195046,2761.0,1774.8815859125089,61.24513141552619,1946.835123267163,61.24513141552619
47,4,4,fully_observed,0.29921783543195046,3219.0,1660.7421471455434,61.24513141552619,3703.325021006321,61.24513141552619
48,4,4,fully_observed,0.29921783543195046,887.0,366.10309805566453,61.24513141552619,583.2291957129929,61.24513141552619
49,4,4,fully_observed,0.29921783543195046,94.0,43.44271451027176,61.24513141552619,84.06163884617541,61.24513141552619
50,10,10,fully_observed,0.5,1861.526958477007,59.23050736134848,101.0,1858.9231221920315,101.0
51,4,4,fully_observed,0.29921783543195046,7854.0,3546.4058008934912,61.24513141552619,6269.325094194272,61.24513141552619
52,1,1,fully_observed,0.29921783543195046,1600.0,1145.1888901434354,61.24513141552619,1351.314939707616,61.24513141552619
53,3,3,fully_observed,0.29921783543195046,3411.0,1834.6242617505445,61.24513141552619,3239.6112435451487,61.24513141552619
54,1,1,fully_observed,0.29921783543195046,738.0,528.2183755786596,61.24513141552619,672.9517397814694,61.24513141552619
55,3,3,fully_observed,0.29921783543195046,610.0,334.9539857946013,61.24513141552619,427.8074329200719,61.24513141552619
56,1,1,fully_observed,0.29921783543195046,118.0,84.45768064807835,61.24513141552619,100.01248692093976,61.24513141552619
57,4,4,fully_observed,0.22441337657396282,464.0,210.7580751829259,46.43384856164464,332.7687415332661,46.43384856164464
58,1,1,fully_observed,0.29921783543195035,209.0,149.59029877498625,61.24513141552617,149.61340147222782,61.24513141552617
59,9,9,fully_observed,0.8057778788857017,5301.875931945249,719.103440343281,161.54402001936896,3907.0785000645974,161.54402001936896
60,1,1,fully_observed,0.9503776020482201,788.0,76.54732710670247,190.17476520554757,790.0671107551537,190.17476520554757
61,9,9,fully_observed,0.8057428336351353,664.0487691718407,50.1958294058672,161.5370810597568,655.9494672668983,161.5370810597568
62,1,1,fully_observed,0.9503776020482201,31.0,3.011379619679919,190.17476520554757,31.09423150054126,190.17476520554757
63,8,8,fully_observed,0.8689281099676169,2524.876615238526,133.26759933093763,174.04776577358814,2407.5954252138267,174.04776577358814
64,1,1,fully_observed,0.9503776020482201,102.99999999999999,10.005551639581666,190.17476520554757,103.98900207880645,190.17476520554757
65,6,6,fully_observed,0.8418509742788417,458.612976,41.119051863729844,168.68649290721066,504.51341155182905,168.68649290721066
66,7,7,fully_observed,0.8146093731841886,145.603032,9.66257459048582,163.29265589046935,144.73677018750482,163.29265589046935
67,1,1,fully_observed,0.9503776020482201,55.0,5.342770292980502,190.17476520554757,54.90876763891618,190.17476520554757
68,8,8,fully_observed,0.75,2753.0,64.75247003739351,150.5,2751.9244639854574,150.5
69,2,2,fully_observed,0.3890244030083395,1729.51826026986,1056.2304933519758,79.02683179565122,1514.9920132065638,79.02683179565122
70,2,2,fully_observed,0.34412111922014504,3538.963739955534,1818.4339133694943,70.13598160558873,3290.8259981293695,70.13598160558873
71,2,2,fully_observed,0.34412111922014504,1690.779895135754,937.4970121259578,70.13598160558873,1457.1365006998208,70.13598160558873
