flow_idx,from_node,from_node_name,to_node_name,share_map,share_observed
113,34,die_cast,transportation_other,0.07802881049245138,0.07750759878419453
114,34,die_cast,machine_industry,0.018717903618879993,0.0182370820668693
115,34,die_cast,electrical_equipment,0.023844837869021526,0.023809523809523808
116,34,die_cast,consumer_durables,0.047042779205995665,0.0486322188449848
117,34,die_cast,other_end_uses,0.038959110691715836,0.037487335359675786
118,36,sand_cast,transportation_auto,0.45594251541684466,0.4600760456273765
119,36,sand_cast,transportation_other,0.07925093430295597,0.07984790874524715
120,36,sand_cast,machine_industry,0.011381509906082853,0.011406844106463879
121,36,sand_cast,electrical_equipment,0.01507467716829863,0.015209125475285171
122,36,sand_cast,consumer_durables,0.029849545854103262,0.030418250950570342
123,36,sand_cast,other_end_uses,0.02855277503992298,0.028517110266159693
124,38,permanent_semi_permanent_mold_cast,transportation_auto,0.5488764163837649,0.5526315789473685
125,38,permanent_semi_permanent_mold_cast,transportation_other,0.07967949697939272,0.08009153318077804
126,38,permanent_semi_permanent_mold_cast,machine_industry,0.020679987694479138,0.020594965675057208
127,38,permanent_semi_permanent_mold_cast,electrical_equipment,0.02727885592105241,0.02745995423340961
128,38,permanent_semi_permanent_mold_cast,consumer_durables,0.053650575700422774,0.05491990846681922
129,38,permanent_semi_permanent_mold_cast,other_end_uses,0.03927278276488936,0.038901601830663615
130,40,other_cast,other_end_uses,0.8228530806777342,0.8316831683168316
131,50,import_mill_semifinished_products,rolling,0.6615990164210532,0.5909127423542424
132,50,import_mill_semifinished_products,extrusion,6.283169848368364e-06,0.0
133,50,import_mill_semifinished_products,drawing,0.09736464095261141,0.12330036770716042
134,50,import_mill_semifinished_products,other_milling_processes,7.002477297992823e-06,0.0
135,50,import_mill_semifinished_products,sheet_plate,6.195215565204214e-06,0.0
136,50,import_mill_semifinished_products,foil,0.11918288673616118,0.11012464743874517
137,50,import_mill_semifinished_products,extruded_products,6.3634352634308e-06,0.0
138,50,import_mill_semifinished_products,wire,0.11297445153960911,0.16760434146774875
139,50,import_mill_semifinished_products,forging_impacts,6.736133468664154e-06,0.0
140,50,import_mill_semifinished_products,powerder_paste,0.008846423919121426,0.008057901032103305
141,51,rolling,scrap_rolling,0.21529624368018024,0.20371785077667431
142,51,rolling,sheet_plate,0.6212814553540745,0.5744843391902216
143,51,rolling,foil,0.06926714820175205,0.08034122740005092
144,51,rolling,export_milling_semifinished_products,0.09415515276399311,0.14145658263305322
145,52,scrap_rolling,forming_scrap_generated,1.0,
146,53,extrusion,scrap_extrusion,0.20763793489450394,0.21635883905013192
147,53,extrusion,extruded_products,0.7419450492202979,0.7165054236294341
148,53,extrusion,export_milling_semifinished_products,0.050417015885198264,0.06713573732043389
149,54,scrap_extrusion,forming_scrap_generated,1.0,
150,55,drawing,scrap_drawing,0.2337157554979141,0.19344262295081968
151,55,drawing,wire,0.6901408181130452,0.7393442622950821
152,55,drawing,export_milling_semifinished_products,0.07614342638904072,0.06721311475409836
153,56,scrap_drawing,forming_scrap_generated,1.0,
154,57,other_milling_processes,scrap_other_milling_processes,0.44953262876453515,0.4504310344827586
155,57,other_milling_processes,forging_impacts,0.43485032763877784,0.43103448275862066
156,57,other_milling_processes,powerder_paste,0.11558340011690432,0.11853448275862069
157,57,other_milling_processes,export_milling_semifinished_products,3.364347978274577e-05,0.0
158,58,scrap_other_milling_processes,forming_scrap_generated,1.0,
159,59,sheet_plate,scrap_sheet_plate,0.2019723593448344,0.14862663896981915
160,59,sheet_plate,building_construction,0.09848453380894666,0.10505715470328587
161,59,sheet_plate,transportation_auto,0.15660047242799396,0.16748788757005
162,59,sheet_plate,transportation_other,0.10716586636491673,0.1140871532471567
163,59,sheet_plate,machine_industry,0.05165113074085313,0.05413178348266256
164,59,sheet_plate,electrical_equipment,0.026991461521142943,0.02885771035835321
165,59,sheet_plate,consumer_durables,0.04882860889220246,0.05375455851065794
166,59,sheet_plate,container_packages,0.30230511203223215,0.3217729011199384
167,59,sheet_plate,other_end_uses,0.006000454866877481,0.006224212038076183
168,60,scrap_sheet_plate,fabrication_scrap_generated,1.0,
169,61,foil,scrap_foil,0.04740283396269638,0.04668331821269878
170,61,foil,building_construction,0.025605822757122233,0.02560052934244772
171,61,foil,transportation_auto,0.054198130788411375,0.05421288566635987
172,61,foil,transportation_other,0.01664673570850649,0.01663849055186117
173,61,foil,machine_industry,0.0045339608171037155,0.004517740472196656
174,61,foil,electrical_equipment,0.007527432425868545,0.007529567453661094
175,61,foil,consumer_durables,0.20518345229237248,0.20631014823031396
176,61,foil,container_packages,0.6373878034388035,0.6370014065797285
177,61,foil,other_end_uses,0.0015138278091150978,0.0015059134907322187
178,62,scrap_foil,fabrication_scrap_generated,1.0,
179,63,extruded_products,scrap_extruded_products,0.04319010937553015,0.04079407262056231
180,63,extruded_products,building_construction,0.3617625961327169,0.3623939460952866
181,63,extruded_products,transportation_auto,0.11209941372627369,0.11248074392465725
182,63,extruded_products,transportation_other,0.18085024239591357,0.18095007592890427
183,63,extruded_products,machine_industry,0.09470254689231959,0.09386597292304144
184,63,extruded_products,electrical_equipment,0.09592613644201164,0.09624232666792858
185,63,extruded_products,consumer_durables,0.09578338194269162,0.0978265624978533
186,63,extruded_products,other_end_uses,0.01568557309254284,0.015446299341766313
187,64,scrap_extruded_products,fabrication_scrap_generated,1.0,
188,65,wire,building_construction,0.0336377599959183,0.03362776198465
189,65,wire,transportation_other,0.02671847442932889,0.026704399223104407
190,65,wire,machine_industry,0.018840939505358433,0.018791984638480877
191,65,wire,electrical_equipment,0.8881383627080804,0.888168537123991
192,65,wire,consumer_durables,0.02171931227715818,0.021804878019849136
193,65,wire,other_end_uses,0.010945151084155835,0.010902439009924568
194,66,forging_impacts,transportation_auto,0.22689466176158313,0.22688030811852192
195,66,forging_impacts,transportation_other,0.6391720705570322,0.6391633055886431
196,66,forging_impacts,machine_industry,0.0311771948377735,0.031152647975077878
197,66,forging_impacts,electrical_equipment,0.003115778300705727,0.0031152647975077876
198,66,forging_impacts,consumer_durables,0.06845704693838697,0.06853582554517133
199,66,forging_impacts,container_packages,3.36943777516395e-06,0.0
200,66,forging_impacts,other_end_uses,0.03117987816674334,0.031152647975077878
201,67,powerder_paste,other_end_uses,1.0,
202,68,import_finished_consumption,building_construction,0.07468167587085317,0.0741009807482746
203,68,import_finished_consumption,transportation_auto,0.23967627179682832,0.2382855067199419
204,68,import_finished_consumption,transportation_other,0.08248138470790087,0.08172902288412641
