Flow index,from_node_name,to_node_name,from_node_number,to_node_number,Indicator
215,Import finished consumption,Consumer durables,68,74,1
216,Import finished consumption,Container & packages,68,75,0
217,Import finished consumption,Other end uses,68,76,0
218,Building & construction,Export finished consumption,69,100,1
219,Building & construction,Consumption Building & construction,69,101,1
220,Transportation auto,Export finished consumption,70,100,1
221,Transportation auto,Consumption Transportation auto,70,102,1
222,Transportation other,Export finished consumption,71,100,1
223,Transportation other,Consumption Transportation other,71,103,1
224,Machine & industry,Export finished consumption,72,100,1
225,Machine & industry,Consumption Machine & industry,72,104,1
226,Electrical & equipment,Export finished consumption,73,100,1
227,Electrical & equipment,Consumption Electrical & equipment,73,105,1
228,Consumer durables,Export finished consumption,74,100,1
229,Consumer durables,Consumption Consumer durables,74,106,1
230,Container & packages,Export finished consumption,75,100,0
231,Container & packages,Consumption Container & packages,75,107,1
232,Other end uses,Export finished consumption,76,100,0
233,Other end uses,Consumption Other end uses,76,108,1
234,EOL scrap Building & construction,EOL scrap (generated),77,18,1
235,EOL scrap Transportation auto,EOL scrap (generated),78,18,1
236,EOL scrap Transportation other,EOL scrap (generated),79,18,1
237,EOL scrap Machine & industry,EOL scrap (generated),80,18,1
238,EOL scrap Electrical & equipment,EOL scrap (generated),81,18,1
239,EOL scrap Consumer durables,EOL scrap (generated),82,18,1
240,EOL scrap Container & packages,EOL scrap (generated),83,18,1
241,EOL scrap Other end uses,EOL scrap (generated),84,18,1
