flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
63,2xx -> permanent_semi_permanent_mold_cast,485.0693201791245,0.0,0.4164528009978749,0.5835471990021251,0.0,0,,,,,structure-determined,4.172190847139227,0.4107617958182212,3.855112716230267,0.40172601558973015,-0.04549069785355786,0.7892895122649496
64,3xx -> permanent_semi_permanent_mold_cast,0.08622273792094606,0.0,0.3967623820362292,0.6032376179637707,0.0,0,,,,,structure-determined,369.17688734833973,38.42121448971316,368.45713755306986,38.66934653666276,0.01279235191618422,0.01861292883725034
65,4xx -> permanent_semi_permanent_mold_cast,275.15105412166145,0.0,0.4141658390950749,0.585834160904925,0.0,0,,,,,structure-determined,4.986391420779167,0.5417964929413656,5.2429457675893545,0.5407184175221199,-0.003991542025302719,-0.474469406804868
66,5xx -> permanent_semi_permanent_mold_cast,8.674025788750853,0.0,0.4106967138926902,0.5893032861073098,0.0,0,,,,,structure-determined,29.25518257280708,3.1117209313870777,29.793813490004396,3.091221998000252,-0.013306647703156926,-0.17424530413725167
67,7xx -> permanent_semi_permanent_mold_cast,259.8993750702936,0.0,0.42804175387232346,0.5719582461276765,0.0,0,,,,,structure-determined,5.893798174166476,0.5395460136941422,5.335084347726071,0.5485515775683046,0.03256445566424426,1.0185256032206653
68,other -> permanent_semi_permanent_mold_cast,0.2567443365196004,0.0,0.38583663991018874,0.6141633600898114,0.0,0,,,,,structure-determined,160.03892748808522,17.612770177447814,169.87911075530403,18.038928536016645,0.046690633085770816,-0.5454971035320546
69,other -> other_cast,10.755505231176228,0.0,0.3837295670116676,0.6162704329883324,0.0,0,,,,,structure-determined,22.17507760165144,3.037046723217255,25.14098450400209,3.0430374389522385,0.0039334507079382686,-0.974653438168626
70,cast_aluminum_ingot -> export_cast_aluminum_ingot,0.010327749508761074,0.11401032103089286,0.186391108635143,0.1480769429688529,0.5515216273651112,1,observation_2022,300.0,300.0,0.0,structure-determined,254.05248224925683,15.61876512422025,267.6259624585081,32.686296042498434,0.77167053010835,-0.4152651677511328
71,wrought_aluminum_ingot -> export_wrought_aluminum_ingot,0.005950444911365869,0.0,0.017134801418003193,0.025629680745116613,0.9572355178368801,0,,,,,structure-determined,19.68271969472515,15.064716825146787,169.17758443584242,186.40045605564623,0.9934682733118022,-0.8020091147013529
72,die_cast -> scrap_cast,0.3246000809471813,0.0,0.08202079294313425,0.9179792070568658,0.0,0,,,,,structure-determined,297.92799016069716,192.66354835935007,529.2154884024293,253.88090077156048,0.42411064867374826,-0.9110078684092993
73,scrap_cast -> die_cast,0.3246207550833371,0.0,0.0820792563248426,0.9179207436751573,0.0,0,,,,,structure-determined,297.84213535518944,192.6862268870335,529.2850758326473,253.7891804027685,0.4235586338040379,-0.9119495957635124
74,sand_cast -> scrap_sand_cast,0.40873699195809576,0.0,0.502826617463681,0.49717338253631904,0.0,0,,,,,prior-informed,246.82943508473014,90.04119062503149,196.64078487986765,93.83111446858469,0.07915038915014849,0.5348828103460925
75,scrap_sand_cast -> sand_cast,0.40871249087604705,0.0,0.502796813417781,0.497203186582219,0.0,0,,,,,prior-informed,247.4476360559477,90.05982593273842,196.68389538125172,93.84342898170654,0.07901094318437563,0.5409408120049797
76,permanent_semi_permanent_mold_cast -> scrap_semi_permanent_mold_cast,1.50594656241006,0.0,0.12458314679026275,0.8754168532097372,0.0,0,,,,,structure-determined,117.30525985342918,72.43039643145839,196.70812922789122,93.69012960590658,0.4023402002340448,-0.8475051716595788
77,scrap_semi_permanent_mold_cast -> permanent_semi_permanent_mold_cast,1.5056728149233551,0.0,0.12442398660552006,0.87557601339448,0.0,0,,,,,structure-determined,117.46329359540017,72.42384720374726,196.74695416880397,93.76358193392439,0.4033841283718105,-0.8455698783913284
78,other_cast -> scrap_other_cast,68.87747146218307,0.0,0.39675440748884144,0.6032455925111585,0.0,0,,,,,structure-determined,16.88358434272294,7.435350023324223,16.95201152827758,8.086100712580926,0.1544787175006096,-0.008462321703237762
79,scrap_other_cast -> other_cast,68.86730871795643,0.0,0.3966653865763553,0.6033346134236447,0.0,0,,,,,structure-determined,16.899727652368902,7.434666448349369,16.954417006312614,8.08656332650649,0.15473089788448546,-0.006762990869613089
80,die_cast -> export_cast_semifinished_products,0.2221012335626,0.0,0.9811375676125652,0.01886243238743485,0.0,0,,,,,prior-informed,18.491467925589863,2.144078739650719,17.994872291518558,2.1779150713819653,0.03083085255110629,0.22801423278465913
81,1xxx -> rolling,0.007472662722238032,0.0,0.401871596893966,0.598128403106034,0.0,0,,,,,structure-determined,1043.7949827446328,484.44360936847977,1096.748074637916,542.7773311037917,0.2033949413469086,-0.09755951263771075
82,1xxx -> extrusion,0.008966399470478364,0.0,0.39787573662996994,0.6021242633700301,0.0,0,,,,,structure-determined,281.8324881463007,132.29791223134734,276.5958503083075,141.20293340375594,0.12215357783172665,0.03708589978807
83,1xxx -> drawing,0.078682129100492,0.0,0.5988104537164012,0.4011895462835989,0.0,0,,,,,prior-informed,130.2677321957127,27.15348531825638,81.93523829211385,27.491647458804405,0.024449778965839775,1.7580792120961095
84,1xxx -> other_milling_processes,0.12275377582033595,0.0,0.4181105595237243,0.5818894404762758,0.0,0,,,,,structure-determined,54.12227766908367,25.838251836942078,56.27330479752844,28.116236328632866,0.15547621878177464,-0.07650480324972284
85,2xxx -> rolling,0.7950881281147966,0.0,0.38052858483389795,0.6194714151661022,0.0,0,,,,,structure-determined,62.29017929887167,33.81523526624005,74.4028345987459,40.601569922624,0.30635194391339193,-0.29832972771638605
86,2xxx -> extrusion,0.7968667474571054,0.0,0.3807450940386444,0.6192549059613556,0.0,0,,,,,structure-determined,70.85097464101585,34.913216840246015,72.52075883153483,40.49493315162361,0.2566756516970823,-0.04123439799905024
