node_id,target_node_id,share_mean,kappa
51,59,0.8288361871662279,20.0
51,61,0.0,20.0
51,99,0.17116381283377213,20.0
52,20,1.0,20.0
53,54,0.0,20.0
53,63,0.9825298317063851,20.0
53,99,0.01747016829361495,20.0
54,20,1.0,20.0
55,56,0.0,20.0
55,65,0.0,20.0
55,99,1.0,20.0
56,20,1.0,20.0
57,58,0.0,20.0
57,66,0.6938960496031013,20.0
57,67,0.0,20.0
57,99,0.3061039503968988,20.0
58,20,1.0,20.0
59,60,0.1111111111111111,20.0
59,69,0.1111111111111111,20.0
59,70,0.1111111111111111,20.0
59,71,0.1111111111111111,20.0
59,72,0.1111111111111111,20.0
59,73,0.1111111111111111,20.0
59,74,0.1111111111111111,20.0
59,75,0.1111111111111111,20.0
59,76,0.1111111111111111,20.0
60,22,1.0,20.0
61,62,0.1111111111111111,20.0
61,69,0.1111111111111111,20.0
61,70,0.1111111111111111,20.0
61,71,0.1111111111111111,20.0
61,72,0.1111111111111111,20.0
61,73,0.1111111111111111,20.0
61,74,0.1111111111111111,20.0
61,75,0.1111111111111111,20.0
61,76,0.1111111111111111,20.0
62,22,1.0,20.0
63,64,0.125,20.0
63,69,0.125,20.0
63,70,0.125,20.0
63,71,0.125,20.0
63,72,0.125,20.0
63,73,0.125,20.0
63,74,0.125,20.0
63,76,0.125,20.0
64,22,1.0,20.0
65,69,0.16666666666666666,20.0
65,71,0.16666666666666666,20.0
65,72,0.16666666666666666,20.0
65,73,0.16666666666666666,20.0
65,74,0.16666666666666666,20.0
65,76,0.16666666666666666,20.0
66,70,0.14285714285714285,20.0
66,71,0.14285714285714285,20.0
66,72,0.14285714285714285,20.0
66,73,0.14285714285714285,20.0
66,74,0.14285714285714285,20.0
66,75,0.14285714285714285,20.0
66,76,0.14285714285714285,20.0
67,76,1.0,20.0
68,69,0.125,20.0
68,70,0.125,20.0
68,71,0.125,20.0
68,72,0.125,20.0
68,73,0.125,20.0
68,74,0.125,20.0
68,75,0.125,20.0
68,76,0.125,20.0
69,100,0.0,20.0
69,101,1.0,20.0
70,100,0.0,20.0
70,102,1.0,20.0
71,100,0.0,20.0
71,103,1.0,20.0
72,100,0.0,20.0
72,104,1.0,20.0
73,100,0.0,20.0
73,105,1.0,20.0
74,100,0.0,20.0
74,106,1.0,20.0
75,100,0.0,20.0
75,107,1.0,20.0
76,100,0.0,20.0
76,108,1.0,20.0
77,18,1.0,20.0
78,18,1.0,20.0
79,18,1.0,20.0
80,18,1.0,20.0
81,18,1.0,20.0
82,18,1.0,20.0
83,18,1.0,20.0
84,18,1.0,20.0
