flow_index,from_node,to_node,published_2017_mean_kt,published_2017_std_kt,published_2017_ci_lo,published_2017_ci_hi,published_2022_mean_kt,published_2022_std_kt_FLAGGED,published_2022_ci_lo_FLAGGED,published_2022_ci_hi_FLAGGED,published_2022_ci_width_pct
182,Extruded Products,Transportation auto,227.2,,,,190.7,9.6868,171.72,209.69,19.912
183,Extruded Products,Transportation other,212.0,,,,170.34,12.5565,145.73,194.95,28.896
184,Extruded Products,Machine & industry,255.31,,,,243.88,8.6639,226.89,260.86,13.926
185,Extruded Products,Electrical & equipment,194.4,,,,216.89,7.2806,202.62,231.16,13.159
186,Extruded Products,Consumer durables,197.6,,,,235.53,8.723,218.43,252.62,14.518
187,Extruded Products,Other end uses,39.0,,,,35.91,7.6067,21.0,50.82,83.045
188,Scrap Extruded Products,Fabrication scrap (generated),103.0,,,,110.52,15.5111,80.12,140.92,55.015
189,Wire,Building & construction,15.42,,,,2.6,3.7678,-4.79,9.98,568.726
190,Wire,Transportation other,12.25,,,,2.67,4.0263,-5.23,10.56,592.02
191,Wire,Machine & industry,8.62,,,,1.26,1.8598,-2.39,4.9,580.443
192,Wire,Electrical & equipment,488.79,,,,453.24,10.3388,432.97,473.5,8.942
193,Wire,Consumer durables,10.0,,,,1.16,1.7416,-2.25,4.58,587.516
194,Wire,Other end uses,5.0,,,,4.13,6.0421,-7.71,15.97,573.206
195,Forging & impacts,Transportation auto,33.03,,,,2.69,4.013,-5.18,10.55,585.232
196,Forging & impacts,Transportation other,93.06,,,,54.48,8.5175,37.79,71.18,61.28
197,Forging & impacts,Machine & industry,4.54,,,,6.11,4.5674,-2.84,15.06,292.933
198,Forging & impacts,Electrical & equipment,0.45,,,,3.13,4.4853,-5.66,11.92,561.922
199,Forging & impacts,Consumer durables,9.98,,,,23.19,8.1831,7.16,39.23,138.302
200,Forging & impacts,Container & packages,0.0,,,,35.18,6.2873,22.85,47.5,70.061
201,Forging & impacts,Other end uses,4.54,,,,16.26,11.1827,-5.66,38.18,269.595
202,Powerder & Paste,Other end uses,55.0,,,,20.39,4.5759,11.42,29.36,87.96
203,Import finished consumption,Building & construction,204.0,,,,211.48,8.3916,195.04,227.93,15.555
204,Import finished consumption,Transportation auto,795.29,,,,578.68,20.929,537.66,619.7,14.177
205,Import finished consumption,Transportation other,298.11,,,,205.66,8.8809,188.25,223.06,16.928
206,Import finished consumption,Machine & industry,337.4,,,,251.66,7.4812,237.0,266.33,11.653
207,Import finished consumption,Electrical & equipment,516.0,,,,476.37,15.4758,446.04,506.7,12.735
208,Import finished consumption,Consumer durables,546.6,,,,683.1,16.3174,651.11,715.08,9.364
209,Import finished consumption,Container & packages,0.0,,,,53.38,7.5952,38.49,68.26,55.779
210,Import finished consumption,Other end uses,0.0,,,,1.23,1.757,-2.22,4.67,562.247
211,Building & construction,Export finished consumption,55.0,,,,70.46,21.0743,29.16,111.77,117.239
212,Building & construction,Consumption Building & construction,1339.61,,,,1466.4,24.8382,1417.72,1515.08,6.64
213,Transportation auto,Export finished consumption,802.0,,,,869.52,22.2587,825.9,913.15,10.035
214,Transportation auto,Consumption Transportation auto,2189.57,,,,1898.42,18.2685,1862.61,1934.23,3.772
215,Transportation other,Export finished consumption,226.0,,,,242.08,9.7722,222.93,261.24,15.824
216,Transportation other,Consumption Transportation other,1171.82,,,,1001.47,12.9024,976.18,1026.76,5.05
217,Machine & industry,Export finished consumption,82.4,,,,105.95,16.8981,72.83,139.07,62.518
218,Machine & industry,Consumption Machine & industry,930.66,,,,765.31,12.3227,741.16,789.46,6.312
219,Electrical & equipment,Export finished consumption,270.0,,,,292.65,15.7412,261.8,323.5,21.085
220,Electrical & equipment,Consumption Electrical & equipment,1166.64,,,,1046.17,9.9104,1026.75,1065.6,3.713
221,Consumer durables,Export finished consumption,209.0,,,,210.26,16.2636,178.38,242.13,30.322
222,Consumer durables,Consumption Consumer durables,1080.18,,,,1328.15,13.1993,1302.28,1354.02,3.896
223,Container & packages,Export finished consumption,0.0,,,,41.05,24.7631,-7.49,89.58,236.494
224,Container & packages,Consumption Container & packages,1787.8,,,,1542.1,17.6211,1507.56,1576.63,4.479
225,Other end uses,Export finished consumption,0.0,,,,38.54,7.7496,23.35,53.73,78.817
226,Other end uses,Consumption Other end uses,310.94,,,,283.39,7.4934,268.7,298.08,10.365
227,EOL scrap Building & construction,EOL scrap (generated),207.0,,,,267.49,3.8611,259.92,275.06,5.658
228,EOL scrap Transportation auto,EOL scrap (generated),1402.0,,,,1272.11,16.4713,1239.83,1304.39,5.076
229,EOL scrap Transportation other,EOL scrap (generated),441.0,,,,513.22,6.2549,500.96,525.48,4.778
230,EOL scrap Machine & industry,EOL scrap (generated),224.0,,,,257.13,3.6715,249.93,264.32,5.597
231,EOL scrap Electrical & equipment,EOL scrap (generated),287.0,,,,344.14,4.6304,335.06,353.21,5.274
232,EOL scrap Consumer durables,EOL scrap (generated),754.0,,,,856.83,10.3731,836.5,877.16,4.746
233,EOL scrap Container & packages,EOL scrap (generated),1537.4,,,,1542.2,18.0411,1506.84,1577.56,4.586
234,EOL scrap Other end uses,EOL scrap (generated),247.0,,,,239.32,4.2293,231.03,247.61,6.928
